NON_CORRELATED,CORRELATED95,COLUMNS_WITH_NAN
HEOTSP,HERSMOKE,
HRNDLREC,HERSNIFF,
METHNDLRC,HERNEEDL,
OTDGNEDL,HEOTSNF,
OTDGNDLA,HEOTNDL,
OTDGNDLB,HEOTOTH,
OTDGNDLC,METHNEEDL,
OTDGNDLD,GNNDLSH1,
OTDGNDLE,GNNDCLEN,
OTDGNDLRC,GNNDLSH2,
GNNDREUS,GNNDGET2,
IINPCOLDREC,IRNPCOLDREC,
NPCOLDYR,IRGHBREC,
NPCOLDMON,IIGHBREC,
GHBYR,ANYNDLREC,
GHBMON,CHMNDLREC,
UDALTIMEUSE,NPCOLDFLAG,
UDALTIMEGET,GHBFLAG,
UDALSTRURGE,UDALLRGAMTS,
UDALLESSEFF,UDALWANTBAD,
UDALNOTSTOP,UDALNEEDMOR,
UDALWSHSTOP,UDALTRYSTOP,
UDALHLTHCTD,UDALHLTHPRB,
UDALMNTLCTD,UDALMNTLPRB,
UDALBLCKCTD,UDALBLCKOUT,
UDALFMLYCTD,UDALSTOPACT,
UDALAVWALCO,UDALWORKPRB,
UDMJTIMEUSE,UDALFMLYPRB,
UDMJTIMEGET,UDALGETHURT,
UDMJSTRURGE,UDALWDSWEAT,
UDMJLESSEFF,UDALWDTRMBL,
UDMJNOTSTOP,UDALWDSLEEP,
UDMJWSHSTOP,UDALWDVOMIT,
UDMJHLTHCTD,UDALWDHALUC,
UDMJMNTLCTD,UDALWDSITST,
UDMJFMLYCTD,UDALWDFLANX,
UDMJAVWMARJ,UDALAVOIDWD,
UDCCTIMEGET,UDALAVWSVTR,
UDCCSTRURGE,UDALAVWOTHR,
UDCCLESSEFF,UDMJLRGAMTS,
UDCCNOTSTOP,UDMJWANTBAD,
UDCCWSHSTOP,UDMJNEEDMOR,
UDCCHLTHCTD,UDMJTRYSTOP,
UDCCMNTLCTD,UDMJHLTHPRB,
UDCCFMLYCTD,UDMJMNTLPRB,
UDCCWDTIRED,UDMJSTOPACT,
UDCCAVWCOCN,UDMJWORKPRB,
UDHETIMEGET,UDMJFMLYPRB,
UDHESTRURGE,UDMJGETHURT,
UDHELESSEFF,UDMJWDANGRY,
UDHENOTSTOP,UDMJWDFLANX,
UDHEWSHSTOP,UDMJWDSLEEP,
UDHEHLTHCTD,UDMJWDAPPET,
UDHEMNTLPRB,UDMJWDSITST,
UDHEMNTLCTD,UDMJWDDEPRS,
UDHEFMLYCTD,UDMJWDSTMCH,
UDHEAVWHERN,UDMJWDSHAKE,
UDHANOTSTOP,UDMJWDSWEAT,
UDHAWSHSTOP,UDMJWDFEVER,
UDHAHLTHCTD,UDMJWDCHILL,
UDHAMNTLCTD,UDMJWDHEDAC,
UDHAFMLYCTD,UDMJAVOIDWD,
UDINNOTSTOP,UDMJAVWOTHR,
UDINWSHSTOP,UDCCTIMEUSE,
UDINHLTHCTD,UDCCLRGAMTS,
UDINMNTLCTD,UDCCWANTBAD,
UDINFMLYCTD,UDCCNEEDMOR,
UDMETIMEGET,UDCCTRYSTOP,
UDMESTRURGE,UDCCHLTHPRB,
UDMELESSEFF,UDCCMNTLPRB,
UDMENOTSTOP,UDCCSTOPACT,
UDMEWSHSTOP,UDCCWORKPRB,
UDMEHLTHCTD,UDCCFMLYPRB,
UDMEMNTLPRB,UDCCGETHURT,
UDMEMNTLCTD,UDCCWDFLBLU,
UDMEFMLYCTD,UDCCWDDREAM,
UDMEWDTIRED,UDCCWDSLEEP,
UDMEAVWMETH,UDCCWDHNGRY,
UDPRTIMEGET,UDCCWDSITST,
UDPRNOTSTOP,UDCCAVOIDWD,
UDPRWSHSTOP,UDCCAVWMETH,
UDPRHLTHCTD,UDCCAVWSTIM,
UDPRMNTLCTD,UDCCAVWOTHR,
UDPRFMLYCTD,UDHETIMEUSE,
UDPRAVWPNRL,UDHELRGAMTS,
UDTRNOTSTOP,UDHEWANTBAD,
UDTRWSHSTOP,UDHENEEDMOR,
UDTRHLTHCTD,UDHETRYSTOP,
UDTRMNTLCTD,UDHEHLTHPRB,
UDTRFMLYCTD,UDHESTOPACT,
UDTRAVWSVTR,UDHEWORKPRB,
